County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Collier,2018-05-15 00:00:00,MSW18135,M,157,Faka Union Canal,Port of the Islands,Natural: Other
Sarasota,2018-05-15 00:00:00,MSW18136,F,137,Fox Creek,Nokomis,Perinatal (<= 150 cm)
Collier,2018-05-16 00:00:00,MSW18137,F,302,Venetian Bay,Naples,Natural: Other
Pinellas,2018-05-18 00:00:00,MNW18060,F,315,Long Bayou,Seminole,Undetermined: Too Decomposed
Glades,2018-05-18 00:00:00,MSW18138,F,245,Lake Okeechobee,Moore Haven,Verified: Not Recovered
Lee,2018-05-18 00:00:00,MSW18139,M,132,Imperial River,Bonita Springs,Perinatal (<= 150 cm)
Brevard,2018-05-19 00:00:00,MEC18061,F,310,Indian River,Titusville,Undetermined: Too Decomposed
Brevard,2018-05-22 00:00:00,MEC18062,M,245,Banana River,Merritt Island,Undetermined: Other
Lee,2018-05-22 00:00:00,MSW18140,U,260,Pine Island Sound,Captiva,Verified: Not Recovered
Manatee,2018-05-23 00:00:00,MNW18061,F,274,Braden River,Bradenton,Human Related: Watercraft Collision
Lee,2018-05-23 00:00:00,MSW18144,M,285,Thunderbird Lake,Cape Coral,Verified: Not Recovered
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Collier,2018-05-23 00:00:00,SWFTm1836b,F,326,Gordon Pass,Naples,Natural: Other
Lee,2018-05-24 00:00:00,MSW18141,F,248,San Carlos Pass,St. James City,Natural: Other
Collier,2018-05-24 00:00:00,MSW18142,F,188,Tarpon Bay,Marco Island,Natural: Other
Hendry,2018-05-24 00:00:00,MSW18143,F,302,Lake Okeechobee,Clewiston,Human Related: Watercraft Collision
Pinellas,2018-05-25 00:00:00,MNW18062,F,241,Old Tampa Bay,Clearwater,Natural: Other
Pinellas,2018-05-26 00:00:00,MNW18063,M,105,Boca Ciega Bay,St. Petersburg,Verified: Not Recovered
Charlotte,2018-05-26 00:00:00,MSW18145,M,243,Placida Harbor,Placida,Human Related: Watercraft Collision
Collier,2018-05-26 00:00:00,MSW18146,M,125,Goodland Bay,Marco Island,Perinatal (<= 150 cm)
Brevard,2018-05-26 00:00:00,SWFTm1837b,F,295,Sykes Creek,Merritt Island,Undetermined: Other
Brevard,2018-05-28 00:00:00,MEC18063,M,122,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Brevard,2018-05-28 00:00:00,MEC18064,M,116,Turkey Creek,Palm Bay,Perinatal (<= 150 cm)
Brevard,2018-05-31 00:00:00,MEC18065,M,104,Grand Canal,Satellite Beach,Perinatal (<= 150 cm)
Hillsborough,2018-05-31 00:00:00,MNW18064,F,327,Hillsborough Bay,Tampa,Human Related: Watercraft Collision
Broward,2018-05-31 00:00:00,MSE18053,F,330,Hillsboro Inlet (ICW),Pompano,Human Related: Other
Lee,2018-05-31 00:00:00,MSW18147,U,185,Tarpon Bay,Sanibel,Verified: Not Recovered
Lee,2018-05-31 00:00:00,MSW18148,M,143,Caloosahatchee River,Cape Coral,Perinatal (<= 150 cm)
Volusia,2018-06-02 00:00:00,MEC18066,M,265,Mosquito Lagoon,New Smyrna Beach,Undetermined: Too Decomposed
Volusia,2018-06-02 00:00:00,MEC18067,M,290,Mosquito Lagoon,New Smyrna Beach,Undetermined: Too Decomposed
Pinellas,2018-06-02 00:00:00,MNW18065,F,113,Mullet Key Bayou,St. Petersburg,Perinatal (<= 150 cm)
Lee,2018-06-02 00:00:00,MSW18149,F,344,Foster Bay,North Captiva Island,Natural: Other
Lee,2018-06-02 00:00:00,MSW18150,U,245,Iona Cove,Ft. Myers,Verified: Not Recovered
Charlotte,2018-06-02 00:00:00,MSW18151,M,207,Gasparilla Sound,Placida,Undetermined: Too Decomposed
Hillsborough,2018-06-04 00:00:00,MNW18066,M,310,Little Manatee River,Ruskin,Human Related: Watercraft Collision
Seminole,2018-06-05 00:00:00,SWFTm1825b,M,239,Lake Monroe,Sanford,Undetermined: Other
Brevard,2018-06-07 00:00:00,MEC18068,F,269,Indian River,Malabar,Undetermined: Other
Volusia,2018-06-07 00:00:00,MEC18069,M,305,Mosquito Lagoon,Allenhurst,Human Related: Watercraft Collision
Citrus,2018-06-07 00:00:00,MNW18067,F,305,Chassahaowitzka River,Homosassa,Human Related: Watercraft Collision
Charlotte,2018-06-08 00:00:00,MSW18152,F,295,Peace River,Port Charlotte,Undetermined: Too Decomposed
Hendry,2018-06-08 00:00:00,MSW18153,M,317,Caloosahatchee River,Labelle,Human Related: Other
Manatee,2018-06-09 00:00:00,MNW18068,M,112,Manatee River,Bradenton,Perinatal (<= 150 cm)
Pinellas,2018-06-09 00:00:00,MNW18069,M,307,Clearwater Harbor,Clearwater,Human Related: Watercraft Collision
Pinellas,2018-06-10 00:00:00,MNW18070,M,269,Mullet Key Bayou,Tierra Verde,Human Related: Watercraft Collision
St. Lucie,2018-06-10 00:00:00,MSE18054,M,258,Indian River,Ft. Pierce,Human Related: Watercraft Collision
Charlotte,2018-06-10 00:00:00,MSW18154,F,354,Charlotte Harbor,Placida,Human Related: Watercraft Collision
Hillsborough,2018-06-11 00:00:00,MNW18071,F,320,Tampa Bay,Apollo Beach,Human Related: Watercraft Collision
Pinellas,2018-06-11 00:00:00,MNW18072,M,205,77th Avenue Canal,St. Petersburg,Human Related: Other
Collier,2018-06-11 00:00:00,MSW18155,M,318,Little Hickory Bay,Bonita Springs,Human Related: Watercraft Collision
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Lee,2018-06-11 00:00:00,MSW18156,M,228,Jug Creek,Bokeelia,Undetermined: Too Decomposed
Lee,2018-06-12 00:00:00,MSW18157,M,204,Boca Grande Bayou,Boca Grande,Natural: Other
Lee,2018-06-13 00:00:00,MSW18158,M,255,Caloosahatchee River,Cape Coral,Human Related: Flood Gate/Canal Lock
Citrus,2018-06-14 00:00:00,MNW18073,F,259,Kings Bay,Crystal River,Natural: Other
Palm Beach,2018-06-14 00:00:00,MSE18055,F,223,Lake Worth Lagoon,North Palm Beach,Natural: Other
Volusia,2018-06-16 00:00:00,MEC18070,M,145,Mosquito Lagoon,Edgewater,Perinatal (<= 150 cm)
Lee,2018-06-16 00:00:00,MSW18159,M,242,Pine Island Sound,Bokeelia,Natural: Other
Dixie,2018-06-18 00:00:00,MNW18074,F,280,Suwannee Sound,Suwannee,Verified: Not Recovered
Manatee,2018-06-18 00:00:00,MNW18075,U,150,Manatee River,Palmetto,Verified: Not Recovered
Lee,2018-06-19 00:00:00,MSW18160,F,290,Pine Island Sound,St. James City,Natural: Other
Charlotte,2018-06-19 00:00:00,MSW18161,M,310,Gulf of Mexico,Little Gasparilla Island,Undetermined: Too Decomposed
Brevard,2018-06-20 00:00:00,MEC18071,U,295,Indian River,Merritt Island,Undetermined: Too Decomposed
Brevard,2018-06-21 00:00:00,MEC18072,M,136,Banana River,Cocoa Beach,Perinatal (<= 150 cm)
Brevard,2018-06-21 00:00:00,MEC18073,M,124,Banana River,Merritt Island,Perinatal (<= 150 cm)
Brevard,2018-06-21 00:00:00,MEC18074,M,115,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Levy,2018-06-21 00:00:00,MNW18076,M,323,Suwannee Sound,Cedar Key,Human Related: Watercraft Collision
Pinellas,2018-06-21 00:00:00,MNW18077,M,309,Old Tampa Bay,Safety Harbor,Undetermined: Too Decomposed
Brevard,2018-06-22 00:00:00,MEC18075,F,294,Mullett Creek,Melbourne Beach,Undetermined: Other
Volusia,2018-06-22 00:00:00,MEC18076,M,306,Mosquito Lagoon,New Smyrna Beach,Undetermined: Too Decomposed
Collier,2018-06-22 00:00:00,MSW18162,F,339,Dollar Bay,Naples,Natural: Other
Hendry,2018-06-22 00:00:00,MSW18163,U,220,Lake Okeechobee Rim Canal,Clewiston,Verified: Not Recovered
Sarasota,2018-06-22 00:00:00,MSW18164,F,271,Alligator Creek,Venice,Human Related: Watercraft Collision
Hillsborough,2018-06-23 00:00:00,MNW18078,F,310,Channel A,Tampa,Undetermined: Too Decomposed
Monroe,2018-06-23 00:00:00,MSE18056,M,249,Cotton Key Basin,Tavernier,Undetermined: Too Decomposed
Martin,2018-06-24 00:00:00,MSE18057,F,269,St. Lucie River,Stuart,Undetermined: Other
Lee,2018-06-24 00:00:00,MSW18165,F,416,Boca Grande Pass,Boca Grande,Undetermined: Too Decomposed
Brevard,2018-06-25 00:00:00,MEC18077,M,121,Banana River,Cocoa Beach,Perinatal (<= 150 cm)
Brevard,2018-06-25 00:00:00,MEC18078,F,141,Banana River,Cocoa Beach,Perinatal (<= 150 cm)
Wakulla,2018-06-25 00:00:00,MNW18079,M,136,St. Marks River,Crawfordville,Perinatal (<= 150 cm)
Monroe,2018-06-25 00:00:00,MSE18058,M,333,Straits of Florida,Largo,Human Related: Watercraft Collision
Monroe,2018-06-25 00:00:00,MSE18059,M,260,Cotton Key Basin,Tavernier,Undetermined: Too Decomposed
Brevard,2018-06-26 00:00:00,MEC18079,F,316,Indian River,Melbourne Beach,Undetermined: Other
Citrus,2018-06-26 00:00:00,MNW18080,M,220,Homosassa River,Homosassa,Undetermined: Too Decomposed
Lee,2018-06-26 00:00:00,MSW18166,F,318,Pine Island Sound,Cayo Costa,Natural: Other
Lee,2018-06-26 00:00:00,MSW18167,M,254,Pine Island Sound,Cayo Costa,Natural: Other
Collier,2018-06-26 00:00:00,MSW18168,U,292,Rock Creek,Naples,Verified: Not Recovered
Citrus,2018-06-27 00:00:00,MNW18081,F,358,Homosassa River,Homosassa,Human Related: Watercraft Collision
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Monroe,2018-06-27 00:00:00,MSE18060,F,292,Tavernier Creek,Tavernier,Undetermined: Other
Lee,2018-06-28 00:00:00,MSW18169,M,338,Caloosahatchee River,North Ft. Myers,Undetermined: Too Decomposed
Collier,2018-06-28 00:00:00,MSW18170,M,332,Sanctuary Sound,Marco Island,Undetermined: Too Decomposed
Lee,2018-06-28 00:00:00,MSW18171,M,200,Pine Island Sound,Sanibel,Undetermined: Too Decomposed
Citrus,2018-06-28 00:00:00,SWFTm1840b,F,274,Halls River,Homosassa,Human Related: Watercraft Collision
St. Johns,2018-06-30 00:00:00,MNE18025,F,112,Hickory Slough,St. Johns,Perinatal (<= 150 cm)
Martin,2018-06-30 00:00:00,MSE18061,M,170,St. Lucie River,Stuart,Undetermined: Too Decomposed
Charlotte,2018-06-30 00:00:00,MSW18172,M,302,Gasparilla Sound,Boca Grande,Natural: Other
Charlotte,2018-06-30 00:00:00,MSW18173,M,295,Peace River,Punta Gorda,Human Related: Watercraft Collision
Hillsborough,2018-07-02 00:00:00,MNW18082,M,137,Hillsborough River,Tampa,Perinatal (<= 150 cm)
Citrus,2018-07-03 00:00:00,MNW18083,F,267,Chassahowitzka River,Homosassa,Human Related: Watercraft Collision
Sarasota,2018-07-04 00:00:00,MSW18174,M,303,South Creek,Osprey,Undetermined: Too Decomposed
Collier,2018-07-04 00:00:00,MSW18175,M,190,Lake Placid,Everglades City,Verified: Not Recovered
Miami-Dade,2018-07-06 00:00:00,MSE18062,F,183,Little Arch Creek,North Miami,Undetermined: Too Decomposed
Charlotte,2018-07-06 00:00:00,MSW18176,F,187,Lemon Bay,Englewood,Natural: Other
Brevard,2018-07-07 00:00:00,MEC18080,F,122,Indian River,Merritt Island,Perinatal (<= 150 cm)
Hillsborough,2018-07-07 00:00:00,MNW18084,F,226,Little Manatee River,Ruskin,Human Related: Watercraft Collision
Collier,2018-07-07 00:00:00,MSW18177,M,298,Sanctuary Sound,Marco Island,Undetermined: Too Decomposed
Brevard,2018-07-08 00:00:00,MEC18081,F,229,Indian River,Grant-Valkaria,Human Related: Watercraft Collision
Volusia,2018-07-08 00:00:00,MNE18026,M,142,Strickland Creek,Ormond Beach,Perinatal (<= 150 cm)
Brevard,2018-07-09 00:00:00,MEC18082,M,123,Indian River,Titusville,Perinatal (<= 150 cm)
Brevard,2018-07-09 00:00:00,MEC18083,M,104,Indian River,Titusville,Perinatal (<= 150 cm)
Hillsborough,2018-07-09 00:00:00,MNW18085,M,266,Old Tampa Bay,Tampa,Undetermined: Too Decomposed
Volusia,2018-07-10 00:00:00,MEC18084,F,317,Indian River North,Edgewater,Human Related: Watercraft Collision
Putnam,2018-07-10 00:00:00,MNE18027,M,118,St. Johns River,East Palatka,Perinatal (<= 150 cm)
Charlotte,2018-07-10 00:00:00,MSW18178,M,332,Peace River,Port Charlotte,Natural: Other
Charlotte,2018-07-10 00:00:00,MSW18179,F,323,Charlotte Harbor,Cape Haze,Natural: Other
Lee,2018-07-10 00:00:00,MSW18180,F,235,Jug Creek,Bokeelia,Human Related: Watercraft Collision
Indian River,2018-07-11 00:00:00,MEC18085,F,112,Indian River,Sebastian,Perinatal (<= 150 cm)
Brevard,2018-07-11 00:00:00,MEC18086,M,126,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Wakulla,2018-07-11 00:00:00,MNW18086,M,215,Wakulla River,St. Marks,Human Related: Watercraft Collision
Citrus,2018-07-11 00:00:00,MNW18087,M,139,Homosassa River,Homosassa,Perinatal (<= 150 cm)
Monroe,2018-07-11 00:00:00,MSE18063,M,322,Key Vaca Cut,Marathon,Human Related: Watercraft Collision
Monroe,2018-07-11 00:00:00,MSE18064,M,132,Cotton Key Basin,Tavernier,Perinatal (<= 150 cm)
Collier,2018-07-11 00:00:00,MSW18181,F,354,Halderman Creek,Naples,Natural: Other
Brevard,2018-07-12 00:00:00,MEC18087,F,144,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Brevard,2018-07-13 00:00:00,MEC18088,F,135,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Pinellas,2018-07-13 00:00:00,MNW18088,F,302,McKay Creek,Largo,Undetermined: Too Decomposed
Pinellas,2018-07-13 00:00:00,MNW18089,M,272,Boca Ciega Bay,Redington Beach,Human Related: Watercraft Collision
Charlotte,2018-07-13 00:00:00,MSW18182,F,298,Lemon Bay,Englewood,Natural: Other
Collier,2018-07-13 00:00:00,MSW18183,F,235,Gullivan Bay,Marco Island,Natural: Other
Brevard,2018-07-14 00:00:00,MEC18089,F,115,Banana River,Cocoa Beach,Perinatal (<= 150 cm)
Brevard,2018-07-14 00:00:00,MEC18090,F,92,Banana River,Merritt Island,Perinatal (<= 150 cm)
Sarasota,2018-07-14 00:00:00,MSW18184,F,223,Forked Creek,Englewood,Natural: Other
Volusia,2018-07-16 00:00:00,MNE18028,M,134,Strickland Creek,Ormond Beach,Perinatal (<= 150 cm)
Indian River,2018-07-17 00:00:00,MEC18091,M,122,Indian River,Vero Beach,Perinatal (<= 150 cm)
Brevard,2018-07-17 00:00:00,MEC18092,M,148,Banana River,Satellite Beach,Perinatal (<= 150 cm)
St. Lucie,2018-07-17 00:00:00,MSE18065,M,275,Indian River,Ft. Pierce,Human Related: Watercraft Collision
Collier,2018-07-18 00:00:00,MSW18185,M,246,Gulf of Mexico,Keewaydin Island,Undetermined: Too Decomposed
Brevard,2018-07-19 00:00:00,MEC18093,M,132,Banana River,Cocoa Beach,Perinatal (<= 150 cm)
Collier,2018-07-19 00:00:00,MSW18186,M,186,Rookery Bay,Naples,Natural: Other
Charlotte,2018-07-19 00:00:00,MSW18187,F,296,Peace River,Port Charlotte,Human Related: Other
Brevard,2018-07-20 00:00:00,MEC18094,M,135,Banana River,Merritt Island,Perinatal (<= 150 cm)
Citrus,2018-07-21 00:00:00,MNW18090,F,152,Dixie Bay,Crystal River,Undetermined: Too Decomposed
Brevard,2018-07-23 00:00:00,MEC18095,F,130,Indian River,Rockledge,Perinatal (<= 150 cm)
Charlotte,2018-07-25 00:00:00,MSW18188,F,200,Alligator Creek,Punta Corda,Human Related: Watercraft Collision
Brevard,2018-07-26 00:00:00,MEC18096,M,120,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Brevard,2018-07-26 00:00:00,MEC18097,F,110,Banana River,Cocoa Beach,Perinatal (<= 150 cm)
Palm Beach,2018-07-27 00:00:00,MSE18066,M,147,Lake Okeechobee,Pahokee,Perinatal (<= 150 cm)
Brevard,2018-07-28 00:00:00,MEC18098,M,150,Indian River,Merritt Island,Perinatal (<= 150 cm)
Pinellas,2018-07-28 00:00:00,MNW18091,F,273,Old Tampa Bay,St. Petersburg,Natural: Other
Martin,2018-07-28 00:00:00,MSE18067,M,345,St. Lucie River,Stuart,Human Related: Flood Gate/Canal Lock
Martin,2018-07-29 00:00:00,MSE18068,F,332,St. Lucie River,Stuart,Human Related: Flood Gate/Canal Lock
Lee,2018-07-29 00:00:00,MSW18189,M,192,Caloosahatchee River,Cape Coral,Natural: Other
Indian River,2018-07-30 00:00:00,MEC18099,M,210,Indian River,Vero Beach,Human Related: Other
Brevard,2018-07-30 00:00:00,MEC18100,M,116,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Sarasota,2018-07-30 00:00:00,MSW18190,F,313,Lemon Bay,Englewood,Natural: Other
Brevard,2018-07-31 00:00:00,MEC18101,F,135,Eau Gallie River,Melbourne,Perinatal (<= 150 cm)
Brevard,2018-07-31 00:00:00,MEC18102,U,300,Indian River,Titusville,Verified: Not Recovered
Lee,2018-07-31 00:00:00,MSW18191,F,355,Caloosahatchee River,Cape Coral,Human Related: Watercraft Collision
Sarasota,2018-07-31 00:00:00,MSW18192,F,290,Lemon Bay,Englewood,Natural: Other
Volusia,2018-08-01 00:00:00,MNE18029,M,119,Halifax River,Daytona Beach,Perinatal (<= 150 cm)
Charlotte,2018-08-01 00:00:00,SWFTm1844b,M,279,Lemon Bay,Englewood,Natural: Other
Brevard,2018-08-02 00:00:00,MEC18103,M,133,Banana River,Cocoa Beach,Perinatal (<= 150 cm)
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Charlotte,2018-08-02 00:00:00,MSW18193,U,245,Gasparilla Sound,Placida,Verified: Not Recovered
Lee,2018-08-02 00:00:00,MSW18194,M,217,Fish Trap Bay,Bonita Springs,Natural: Other
Sarasota,2018-08-02 00:00:00,MSW18195,M,292,Lemon Bay (ICW),Venice,Human Related: Watercraft Collision
Brevard,2018-08-03 00:00:00,MEC18104,F,130,Grand Canal,Satellite Beach,Perinatal (<= 150 cm)
Brevard,2018-08-03 00:00:00,MEC18105,F,135,Banana River,Merritt Island,Perinatal (<= 150 cm)
Manatee,2018-08-03 00:00:00,MNW18092,F,316,Custer Bayou,Terra Ceia,Human Related: Watercraft Collision
Wakulla,2018-08-03 00:00:00,MNW18093,F,355,East River,Crawfordville,Undetermined: Too Decomposed
Charlotte,2018-08-03 00:00:00,MSW18196,M,225,Alligator Creek,Punta Gorda,Human Related: Watercraft Collision
Lee,2018-08-03 00:00:00,MSW18197,F,232,Pine Island Sound,Upper Captiva,Undetermined: Too Decomposed
Sarasota,2018-08-03 00:00:00,MSW18198,F,290,Little Sarasota Bay,Sarasota,Natural: Other
Lee,2018-08-03 00:00:00,MSW18199,F,250,Matlacha Pass,Pine Island,Verified: Not Recovered
Brevard,2018-08-04 00:00:00,MEC18106,F,123,Indian River,Titusville,Perinatal (<= 150 cm)
Monroe,2018-08-04 00:00:00,MSE18069,F,183,Florida Bay,Key Largo,Human Related: Watercraft Collision
Charlotte,2018-08-04 00:00:00,MSW18200,M,268,Gasparilla Sound,Placida,Undetermined: Too Decomposed
Sarasota,2018-08-04 00:00:00,MSW18201,M,296,Lemon Bay,Englewood,Natural: Other
Lee,2018-08-04 00:00:00,MSW18202,F,208,Pine Island Sound,Saint James City,Human Related: Watercraft Collision
Sarasota,2018-08-04 00:00:00,MSW18203,M,214,Dona Bay,Venice,Natural: Other
Manatee,2018-08-05 00:00:00,MNW18094,F,312,Braden River,Bradenton,Human Related: Watercraft Collision
Sarasota,2018-08-05 00:00:00,MSW18204,U,245,Gulf of Mexico,Sarasota,Verified: Not Recovered
Sarasota,2018-08-05 00:00:00,MSW18205,M,260,Little Sarasota Bay,Sarasota,Undetermined: Too Decomposed
Charlotte,2018-08-05 00:00:00,MSW18206,M,215,Placida Harbor,Placida,Natural: Other
Lee,2018-08-06 00:00:00,MSW18207,F,285,Matlacha Pass,Bokeelia,Natural: Other
Lee,2018-08-06 00:00:00,MSW18212,U,300,Foster Bay,North Captiva Island,Verified: Not Recovered
Sarasota,2018-08-07 00:00:00,MSW18208,M,315,Lemon Bay (ICW),Sarasota,Natural: Other
Sarasota,2018-08-07 00:00:00,MSW18209,M,239,Shakett Creek,Nokomis,Natural: Other
Brevard,2018-08-08 00:00:00,MEC18107,M,135,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Charlotte,2018-08-08 00:00:00,MSW18210,F,330,Charlotte Harbor,Port Charlotte,Undetermined: Too Decomposed
Collier,2018-08-08 00:00:00,MSW18211,F,197,Johnson Bay,Naples,Natural: Other
Lee,2018-08-08 00:00:00,MSW18213,U,300,Roosevelt Channel,Captiva,Verified: Not Recovered
Collier,2018-08-08 00:00:00,MSW18214,U,275,Johnson Bay,Naples,Verified: Not Recovered
Manatee,2018-08-09 00:00:00,MNW18095,F,317,Manatee River,Parrish,Undetermined: Too Decomposed
Lake,2018-08-10 00:00:00,MEC18108,F,280,St. Johns River,Astor,Undetermined: Too Decomposed
Volusia,2018-08-11 00:00:00,MNE18030,M,322,Indian River North,New Smyrna Beach,Human Related: Watercraft Collision
Brevard,2018-08-12 00:00:00,MEC18109,F,133,Turkey Creek,Palm Bay,Perinatal (<= 150 cm)
Lee,2018-08-12 00:00:00,MSW18215,M,320,Gasparilla Sound,Boca Grande,Verified: Not Recovered
Lee,2018-08-13 00:00:00,MSW18216,M,131,San Carlos Bay,Saint James City,Perinatal (<= 150 cm)
Charlotte,2018-08-13 00:00:00,MSW18217,F,139,Ainger Creek,Englewood,Perinatal (<= 150 cm)
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Sarasota,2018-08-13 00:00:00,MSW18218,M,327,Blackburn Bay,Nokomis,Natural: Other
Hillsborough,2018-08-14 00:00:00,MNW18096,M,330,Hillsborough Bay,Tampa,Human Related: Watercraft Collision
Lee,2018-08-14 00:00:00,MSW18219,U,215,Pine Island Sound,Useppa Island,Verified: Not Recovered
Brevard,2018-08-15 00:00:00,MEC18110,M,247,Indian River,Grant-Valkaria,Human Related: Watercraft Collision
Pinellas,2018-08-15 00:00:00,MNW18097,M,258,77th Avenue canal,St. Petersburg,Undetermined: Too Decomposed
Sarasota,2018-08-15 00:00:00,MSW18220,M,176,Phillippi Creek,Sarasota,Undetermined: Too Decomposed
Manatee,2018-08-16 00:00:00,MNW18098,F,278,Terra Ceia Bay,Palmetto,Undetermined: Too Decomposed
Sarasota,2018-08-16 00:00:00,MSW18221,M,298,Little Sarasota Bay,Osprey,Natural: Other
Lee,2018-08-17 00:00:00,MSW18222,F,258,Pine Island Sound,Cayo Costa,Natural: Other
Hillsborough,2018-08-18 00:00:00,MNW18099,M,105,Alafia River,Riverview,Perinatal (<= 150 cm)
Sarasota,2018-08-18 00:00:00,MSW18223,M,280,Phillippi Creek,Sarasota,Natural: Other
Lee,2018-08-18 00:00:00,MSW18224,F,278,San Carlos Bay,Sanibel,Natural: Other
Lee,2018-08-18 00:00:00,MSW18225,U,275,Matlacha Pass,St. James City,Verified: Not Recovered
Lee,2018-08-19 00:00:00,MSW18226,F,130,Caloosahatchee River,Cape Coral,Perinatal (<= 150 cm)
Collier,2018-08-19 00:00:00,MSW18227,F,243,Tigertail Lagoon,Marco Island,Natural: Other
Lee,2018-08-19 00:00:00,MSW18228,M,229,Caloosahatchee River,Cape Coral,Natural: Other
Sarasota,2018-08-19 00:00:00,MSW18229,M,198,Blackburn Bay,Nokomis,Human Related: Watercraft Collision
Brevard,2018-08-20 00:00:00,MEC18111,U,125,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Sarasota,2018-08-20 00:00:00,MSW18230,M,226,Shakett Creek,Nokomis,Natural: Other
Lee,2018-08-20 00:00:00,MSW18231,F,366,San Carlos Bay,St. James City,Natural: Other
Lee,2018-08-20 00:00:00,MSW18232,M,126,Caloosahatchee River,Cape Coral,Perinatal (<= 150 cm)
Collier,2018-08-20 00:00:00,MSW18233,M,321,Tarpon Bay,Marco Island,Natural: Other
Manatee,2018-08-21 00:00:00,MNW18100,U,200,Sarasota Bay,Cortez,Verified: Not Recovered
Sarasota,2018-08-21 00:00:00,MSW18234,F,290,Little Sarasota Bay,Sarasota,Natural: Other
Collier,2018-08-21 00:00:00,MSW18235,M,309,Smokehouse Bay,Marco Island,Natural: Other
Collier,2018-08-21 00:00:00,MSW18236,M,306,Sanctuary Sound,Marco Island,Natural: Other
Pinellas,2018-08-22 00:00:00,MNW18101,M,267,Mullet Key Bayou,St. Petersburg,Human Related: Watercraft Collision
Sarasota,2018-08-22 00:00:00,MSW18237,F,286,South Creek,Osprey,Natural: Other
Collier,2018-08-22 00:00:00,MSW18238,F,256,Sanctuary Sound,Marco Island,Natural: Other
Sarasota,2018-08-23 00:00:00,MSW18239,F,319,Sarasota Bay,Longboat Key,Natural: Other
Lee,2018-08-23 00:00:00,MSW18240,U,215,Pine Island Sound,Captiva,Verified: Not Recovered
Lee,2018-08-23 00:00:00,MSW18241,U,275,Dinken Bayou,Sanibel,Verified: Not Recovered
Lee,2018-08-24 00:00:00,MSW18242,U,180,Estero Bay,Bonita Springs,Verified: Not Recovered
Monroe,2018-08-25 00:00:00,MSE18070,F,200,Florida Bay,Key West,Verified: Not Recovered
Lee,2018-08-25 00:00:00,MSW18243,U,275,San Carlos Bay,Sanibel,Verified: Not Recovered
Lee,2018-08-25 00:00:00,MSW18244,U,180,San Carlos Bay,Saint James City,Verified: Not Recovered
Flagler,2018-08-26 00:00:00,MNE18031,F,110,Matanzas River,Palm Coast,Perinatal (<= 150 cm)
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Manatee,2018-08-26 00:00:00,MNW18102,M,325,Anna Maria Sound,Holmes Beach,Natural: Other
Sarasota,2018-08-26 00:00:00,MSW18245,M,308,Dryman Bay,Osprey,Natural: Other
Volusia,2018-08-27 00:00:00,MEC18112,M,121,St. Johns River,Orange City,Perinatal (<= 150 cm)
Sarasota,2018-08-27 00:00:00,MSW18246,M,313,Dryman Bay,Osprey,Natural: Other
