County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Lee,2018-08-27 00:00:00,MSW18247,F,356,Pine Island Sound,Saint James City,Undetermined: Too Decomposed
Lee,2018-08-27 00:00:00,MSW18248,M,248,Tarpon Bay,Sanibel,Natural: Other
Brevard,2018-08-28 00:00:00,MEC18113,F,254,Banana River,Cape Canaveral,Human Related: Watercraft Collision
Manatee,2018-08-28 00:00:00,MNW18103,M,302,Tampa Bay,Anna Maria Island,Natural: Other
Martin,2018-08-28 00:00:00,MSE18072,F,335,St. Lucie Canal,Indiantown,Undetermined: Too Decomposed
Sarasota,2018-08-28 00:00:00,MSW18249,M,328,Big Sarasota Pass,Sarasota,Natural: Other
Lee,2018-08-28 00:00:00,MSW18250,F,180,San Carlos Bay,Sanibel,Verified: Not Recovered
Lee,2018-08-28 00:00:00,MSW18251,F,308,Charlotte Harbor,Bokeelia,Natural: Other
Sarasota,2018-08-30 00:00:00,MSW18252,M,255,Little Sarasota Bay,Sarasota,Natural: Other
Sarasota,2018-08-30 00:00:00,MSW18253,M,308,Blackburn Bay,Osprey,Natural: Other
Charlotte,2018-08-30 00:00:00,MSW18254,F,211,Lemon Bay,Englewood,Natural: Other
Manatee,2018-08-31 00:00:00,MNW18104,M,274,Bowlees Creek,Bradenton,Natural: Other
Manatee,2018-08-31 00:00:00,MNW18105,U,,Gulf of Mexico,Anna Maria Island,Verified: Not Recovered
St. Lucie,2018-08-31 00:00:00,MSE18071,M,245,St. Lucie River,Port St. Lucie,Undetermined: Too Decomposed
Collier,2018-08-31 00:00:00,MSW18255,F,293,Big Marco Pass,Marco Island,Verified: Not Recovered
Lee,2018-08-31 00:00:00,MSW18256,U,215,Tarpon Bay,Sanibel,Verified: Not Recovered
Brevard,2018-09-01 00:00:00,MEC18114,M,123,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Sarasota,2018-09-01 00:00:00,MSW18257,M,261,Intracoastal Waterway,Venice,Natural: Other
Volusia,2018-09-01 00:00:00,SWFTm1850b,M,125,Tomoka River,Ormond Beach,Human Related: Watercraft Collision
St. Johns,2018-09-02 00:00:00,MNE18032,M,310,Tolomato River,Ponte Vedra Beach,Human Related: Watercraft Collision
Manatee,2018-09-02 00:00:00,MNW18106,F,301,Sarasota Bay,Bradenton,Natural: Other
Sarasota,2018-09-02 00:00:00,MSW18258,M,213,Turtle Bay,Sarasota,Natural: Other
Sarasota,2018-09-02 00:00:00,MSW18259,F,263,Roberts Bay,Venice,Natural: Other
Sarasota,2018-09-02 00:00:00,MSW18260,F,140,Shakett Creek,Nokomis,Perinatal (<= 150 cm)
Lee,2018-09-02 00:00:00,MSW18261,F,258,Tarpon Bay,Sanibel,Natural: Other
Lee,2018-09-02 00:00:00,MSW18262,U,300,Pine Island Sound,Captiva,Verified: Not Recovered
Collier,2018-09-02 00:00:00,MSW18263,M,214,Addison Bay,Marco Island,Natural: Other
Lee,2018-09-02 00:00:00,MSW18264,M,195,San Carlos Bay,Sanibel,Human Related: Watercraft Collision
Brevard,2018-09-04 00:00:00,MEC18115,M,300,Mosquito Lagoon,Allenhurst,Human Related: Watercraft Collision
Lee,2018-09-04 00:00:00,MSW18265,M,172,Caloosahatchee River,North Fort Myers,Natural: Other
Sarasota,2018-09-04 00:00:00,MSW18266,M,230,Sarasota Bay,Sarasota,Natural: Other
Sarasota,2018-09-04 00:00:00,MSW18267,F,206,Intracoastal Waterway,Venice,Verified: Not Recovered
Volusia,2018-09-05 00:00:00,MEC18116,M,295,Mosquito Lagoon,Allenhurst,Human Related: Watercraft Collision
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Manatee,2018-09-06 00:00:00,MNW18107,M,247,Sarasota Bay,Longboat Key,Natural: Other
Lee,2018-09-07 00:00:00,MSW18268,F,230,Roosevelt Channel,Captiva,Verified: Not Recovered
Volusia,2018-09-08 00:00:00,MEC18117,F,337,Mosquito Lagoon,New Smyrna Beach,Human Related: Watercraft Collision
Pinellas,2018-09-08 00:00:00,MNW18108,M,201,Whitcomb Bayou,Tarpon Springs,Undetermined: Too Decomposed
Manatee,2018-09-08 00:00:00,MNW18109,M,302,Sarasota Bay,Longboat Key,Natural: Other
Lee,2018-09-08 00:00:00,MSW18269,F,320,Ostego Bay,Fort Myers Beach,Verified: Not Recovered
Lee,2018-09-08 00:00:00,MSW18270,M,250,Pine Island Sound,Bookelia,Verified: Not Recovered
Pinellas,2018-09-09 00:00:00,MNW18110,F,267,Allens Creek,Clearwater,Undetermined: Too Decomposed
Manatee,2018-09-09 00:00:00,MNW18111,U,305,Palma Sola Bay,Bradenton,Verified: Not Recovered
Lee,2018-09-09 00:00:00,MSW18271,F,285,Gulf of Mexico,Fort Myers Beach,Verified: Not Recovered
Collier,2018-09-09 00:00:00,MSW18272,F,261,Collier Bay,Marco Island,Natural: Other
Manatee,2018-09-10 00:00:00,MNW18112,U,305,Sarasota Bay,Longboat Key,Verified: Not Recovered
Wakulla,2018-09-10 00:00:00,MNW18113,F,310,Wakulla River,St. Marks,Natural: Other
Lee,2018-09-10 00:00:00,MSW18273,F,273,Roosevelt Channel,Captiva,Undetermined: Too Decomposed
Pinellas,2018-09-11 00:00:00,MNW18114,F,309,Allen's Creek,Clearwater,Undetermined: Too Decomposed
Manatee,2018-09-11 00:00:00,MNW18115,M,147,Terra Ceia Bay,Palmetto,Perinatal (<= 150 cm)
Lee,2018-09-11 00:00:00,MSW18274,F,270,San Carlos Bay,Ft. Myers,Undetermined: Too Decomposed
Pinellas,2018-09-12 00:00:00,MNW18116,F,200,77th Avenue Canal,St. Petersburg,Undetermined: Too Decomposed
Collier,2018-09-12 00:00:00,MSW18275,F,296,Tigertail Lagoon,Marco Island,Natural: Other
Collier,2018-09-13 00:00:00,MSW18276,U,360,Gulf of Mexico,Cape Romano,Verified: Not Recovered
Lee,2018-09-13 00:00:00,MSW18277,U,245,Boca Grande Pass,Cayo Costa,Verified: Not Recovered
Collier,2018-09-14 00:00:00,MSW18278,F,298,Collier Bay,Marco Island,Natural: Other
Charlotte,2018-09-18 00:00:00,MSW18279,M,323,Gulf of Mexico,Placida,Natural: Other
Sarasota,2018-09-18 00:00:00,MSW18280,M,335,Gulf of Mexico,Venice,Natural: Other
Charlotte,2018-09-18 00:00:00,MSW18281,M,337,Gulf of Mexico,Englewood,Natural: Other
Collier,2018-09-18 00:00:00,MSW18282,U,245,Factory Bay,Marco Island,Verified: Not Recovered
Sarasota,2018-09-18 00:00:00,MSW18283,M,288,Gulf of Mexico,Englewood,Natural: Other
Brevard,2018-09-19 00:00:00,MEC18118,M,252,Indian River,Melbourne,Human Related: Watercraft Collision
Pinellas,2018-09-19 00:00:00,MNW18117,F,299,Clearwater Pass,Clearwater,Natural: Other
Charlotte,2018-09-19 00:00:00,MSW18284,M,222,Lemon Bay,Englewood,Natural: Other
Charlotte,2018-09-19 00:00:00,MSW18285,U,245,Gulf of Mexico,Palm Island,Verified: Not Recovered
Volusia,2018-09-20 00:00:00,MNE18033,M,105,canal off Tomoka River,Ormond Beach,Perinatal (<= 150 cm)
Collier,2018-09-20 00:00:00,MSTm1811,M,294,Factory Bay,Marco Island,Human Related: Other
Charlotte,2018-09-20 00:00:00,MSW18286,M,260,Gulf of Mexico,Englewood,Natural: Other
Lee,2018-09-20 00:00:00,MSW18287,U,155,Gulf of Mexico,Bonita Springs,Verified: Not Recovered
Collier,2018-09-20 00:00:00,MSW18288,U,300,Tarpon Bay,Naples,Verified: Not Recovered
Indian River,2018-09-22 00:00:00,MEC18119,F,124,Indian River,Vero Beach,Perinatal (<= 150 cm)
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Charlotte,2018-09-22 00:00:00,MSW18289,M,305,Lemon Bay,Englewood,Natural: Other
Sarasota,2018-09-22 00:00:00,MSW18290,M,290,Little Sarasota Bay,Osprey,Natural: Other
Duval,2018-09-23 00:00:00,MNE18034,M,134,San Pablo River,Jacksonville,Perinatal (<= 150 cm)
Sarasota,2018-09-23 00:00:00,MSW18291,M,261,Sarasota Bay,Sarasota,Natural: Other
Brevard,2018-09-24 00:00:00,MEC18120,F,125,Indian River,Titusville,Perinatal (<= 150 cm)
Brevard,2018-09-24 00:00:00,MEC18121,M,297,Mosquito Lagoon,Merritt Island,Human Related: Watercraft Collision
Brevard,2018-09-24 00:00:00,MEC18122,F,332,Turkey Creek,Palm Bay,Natural: Other
Lee,2018-09-24 00:00:00,MSW18292,F,334,Matlacha Pass,Cape Coral,Human Related: Other
Brevard,2018-09-25 00:00:00,MEC18123,M,317,Mosquito Lagoon,Allenhurst,Human Related: Watercraft Collision
Brevard,2018-09-25 00:00:00,MEC18124,M,294,Mosquito Lagoon,Allenhurst,Undetermined: Too Decomposed
Brevard,2018-09-25 00:00:00,MEC18125,F,327,Mosquito Lagoon,Allenhurst,Human Related: Watercraft Collision
Lee,2018-09-25 00:00:00,MSW18293,F,305,Gulf of Mexico,Boca Grande,Verified: Not Recovered
Lee,2018-09-25 00:00:00,MSW18294,F,281,Estero Bay,Fort Myers Beach,Natural: Other
Lee,2018-09-25 00:00:00,MSW18295,M,185,Caloosahatchee River,Fort Myers,Verified: Not Recovered
Lee,2018-09-25 00:00:00,MSW18296,M,295,Estero Bay,Fort Myers Beach,Natural: Other
Lee,2018-09-25 00:00:00,MSW18297,U,150,Charlotte Harbor,Bokeelia,Verified: Not Recovered
Duval,2018-09-26 00:00:00,MNE18035,M,316,Long Branch Creek,Jacksonville,Human Related: Other
Lee,2018-09-26 00:00:00,MSW18298,F,218,Caloosahatchee River,Fort Myers,Natural: Other
Lee,2018-09-26 00:00:00,MSW18299,U,230,San Carlos Bay,Sanibel,Verified: Not Recovered
Lee,2018-09-27 00:00:00,MSW18300,M,346,Charlotte Harbor,Placida,Human Related: Watercraft Collision
Sarasota,2018-09-27 00:00:00,MSW18301,F,260,Blackburn Bay,Osprey,Natural: Other
Pinellas,2018-09-28 00:00:00,MNW18118,M,145,Riviera Bay,St. Petersburg,Perinatal (<= 150 cm)
Sarasota,2018-09-28 00:00:00,MSW18302,M,280,Dryman Bay,Osprey,Verified: Not Recovered
Pinellas,2018-09-29 00:00:00,MNW18119,F,290,Clearwater Harbor,Clearwater Beach,Natural: Other
Sarasota,2018-09-29 00:00:00,MSW18303,M,288,Dona Bay,Nokomis,Natural: Other
Lee,2018-09-29 00:00:00,MSW18304,M,245,Gulf of Mexico,Cayo Costa,Verified: Not Recovered
Sarasota,2018-09-29 00:00:00,MSW18305,M,296,South Creek,Osprey,Natural: Other
Sarasota,2018-09-29 00:00:00,MSW18306,M,304,Dona Bay,Nokomis,Natural: Other
Pinellas,2018-10-01 00:00:00,MNW18120,F,222,Intracoastal Waterway,Redington Shores,Natural: Other
Pinellas,2018-10-02 00:00:00,MNW18121,M,286,Boca Ciega Bay,Treasure Island,Natural: Other
Lee,2018-10-02 00:00:00,MSW18307,M,312,San Carlos Bay,Sanibel,Natural: Other
Lee,2018-10-02 00:00:00,MSW18308,U,180,Shell Creek,Fort Myers,Verified: Not Recovered
Manatee,2018-10-03 00:00:00,MNW18122,M,272,Braden River,Bradenton,Human Related: Watercraft Collision
Lee,2018-10-03 00:00:00,MSW18309,M,310,San Carlos Bay,Sanibel,Verified: Not Recovered
Sarasota,2018-10-04 00:00:00,MSW18310,M,335,Little Sarasota Bay,Sarasota,Verified: Not Recovered
Martin,2018-10-05 00:00:00,MSE18073,M,284,Indian River,Stuart,Natural: Other
Sarasota,2018-10-05 00:00:00,MSW18311,F,312,Sarasota Bay,Sarasota,Natural: Other
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Brevard,2018-10-06 00:00:00,MEC18126,F,210,Crane Creek,Melbourne,Undetermined: Too Decomposed
Brevard,2018-10-06 00:00:00,MEC18127,M,303,Indian River,Merritt Island,Human Related: Other
Pinellas,2018-10-06 00:00:00,MNW18123,M,277,Intracoastal Waterway,Largo,Natural: Other
Lee,2018-10-06 00:00:00,MSW18312,M,220,San Carlos Bay,St. James City,Natural: Other
Brevard,2018-10-07 00:00:00,MEC18128,M,306,Mosquito Lagoon,Allenhurst,Undetermined: Too Decomposed
Palm Beach,2018-10-07 00:00:00,MSE18074,F,362,Rim Canal,Lake Harbor,Human Related: Watercraft Collision
Pinellas,2018-10-08 00:00:00,MNW18124,F,296,Old Tampa Bay,St. Petersburg,Undetermined: Too Decomposed
Lee,2018-10-09 00:00:00,MSW18313,F,245,San Carlos Bay,St. James City,Verified: Not Recovered
Lee,2018-10-09 00:00:00,MSW18314,M,305,Roosevelt Channel,Captiva,Verified: Not Recovered
Brevard,2018-10-11 00:00:00,MEC18129,M,135,Eau Gallie River,Melbourne,Perinatal (<= 150 cm)
Charlotte,2018-10-11 00:00:00,MSW18315,U,215,Gasparilla Sound,Placida,Verified: Not Recovered
Citrus,2018-10-12 00:00:00,MNW18125,F,128,Mason Creek,Homosassa,Perinatal (<= 150 cm)
Lee,2018-10-12 00:00:00,MSW18316,U,295,San Carlos Bay,Sanibel,Verified: Not Recovered
Wakulla,2018-10-13 00:00:00,MNW18126,F,280,St. Marks River,St. Marks,Verified: Not Recovered
Pinellas,2018-10-13 00:00:00,MNW18127,M,272,Boca Ciega Bay,St. Petersburg,Natural: Other
Pinellas,2018-10-13 00:00:00,MNW18129,M,338,Soldier Hole,St. Petersburg,Undetermined: Too Decomposed
Lee,2018-10-13 00:00:00,MSW18317,U,245,San Carlos Bay,St. James City,Verified: Not Recovered
Pinellas,2018-10-14 00:00:00,MNW18128,F,273,McKay Creek,Largo,Natural: Other
Pinellas,2018-10-14 00:00:00,MNW18130,F,261,Long Bayou,St. Petersburg,Natural: Other
Miami-Dade,2018-10-14 00:00:00,MSTm1607,M,207,Coral Gables Waterway,Coral Gables,Human Related: Other
Monroe,2018-10-17 00:00:00,MSE18075,F,329,Little Buttonwood Sound,Key Largo,Human Related: Watercraft Collision
Pinellas,2018-10-18 00:00:00,MNW18131,M,311,Boca Ciega Bay,St. Petersburg,Natural: Other
Pinellas,2018-10-18 00:00:00,MNW18132,M,248,Boca Ciega Bay,St. Petersburg,Natural: Other
Pinellas,2018-10-19 00:00:00,MNW18133,M,216,Long Bayou,St. Petersburg,Natural: Other
Duval,2018-10-20 00:00:00,MNE18036,M,288,De Blieu Creek,Jacksonville,Undetermined: Too Decomposed
Pinellas,2018-10-20 00:00:00,MNW18134,F,277,Saint Joseph Sound,Palm Harbor,Human Related: Watercraft Collision
Dixie,2018-10-20 00:00:00,MNW18135,F,334,Gulf of Mexico,Horseshoe Beach,Undetermined: Other
Lee,2018-10-20 00:00:00,MSW18318,F,255,Pine Island Sound,St. James City,Natural: Other
Martin,2018-10-24 00:00:00,MSE18076,M,252,St. Lucie River,Stuart,Human Related: Watercraft Collision
Pinellas,2018-10-29 00:00:00,MNW18136,M,284,Boca Ciega Bay,St. Pete Beach,Natural: Other
Hillsborough,2018-10-29 00:00:00,MNW18137,M,262,Old Tampa Bay,Tampa,Natural: Other
Pinellas,2018-10-29 00:00:00,MNW18138,M,238,Mullet Key Bayou,St. Petersburg,Natural: Other
Lake,2018-10-30 00:00:00,MEC18130,F,307,St. Johns River,DeBary,Human Related: Watercraft Collision
Pinellas,2018-10-30 00:00:00,MNW18139,M,342,Boca Ciega Bay,St. Petersburg,Undetermined: Too Decomposed
St. Lucie,2018-10-30 00:00:00,MSE18077,M,269,Indian River,Fort Pierce,Natural: Other
Pinellas,2018-10-31 00:00:00,MNW18140,M,166,Stevenson Creek,Clearwater,Undetermined: Too Decomposed
Indian River,2018-11-01 00:00:00,MEC18131,F,235,Indian River,Vero Beach,Natural: Other
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Pinellas,2018-11-01 00:00:00,MNW18141,M,268,Coffee Pot Bayou,St. Petersburg,Human Related: Watercraft Collision
Brevard,2018-11-02 00:00:00,MEC18132,M,126,Indian River,Merritt Island,Perinatal (<= 150 cm)
Brevard,2018-11-02 00:00:00,MEC18133,M,96,Desoto Canal,Indian Harbor Beach,Perinatal (<= 150 cm)
Okeechobee,2018-11-02 00:00:00,MSE18078,F,229,Taylor Creek,Okeechobee,Human Related: Flood Gate/Canal Lock
St. Lucie,2018-11-02 00:00:00,MSE18079,F,345,Wildcat Cove,Fort Pierce,Undetermined: Other
Flagler,2018-11-03 00:00:00,MNE18037,F,142,Matanzas River,Flagler Beach,Human Related: Watercraft Collision
Hillsborough,2018-11-03 00:00:00,MNW18142,M,117,Old Tampa Bay,Tampa,Perinatal (<= 150 cm)
Manatee,2018-11-05 00:00:00,MNW18143,F,229,Palma Sola Bay,Bradenton,Natural: Other
Manatee,2018-11-05 00:00:00,MNW18144,U,160,Manatee River,Ellenton,Verified: Not Recovered
Pasco,2018-11-05 00:00:00,MNW18145,M,302,Gulf of Mexico,New Port Richey,Human Related: Watercraft Collision
Monroe,2018-11-05 00:00:00,MSW18319,F,218,Buttonwood Canal,Flamingo,Human Related: Watercraft Collision
Pinellas,2018-11-07 00:00:00,MNW18146,F,326,Old Tampa Bay,Clearwater,Human Related: Watercraft Collision
Hillsborough,2018-11-07 00:00:00,MNW18147,M,165,Old Tampa Bay,Tampa,Natural: Other
Lee,2018-11-07 00:00:00,MSW18320,M,99,Ostego Bay,Fort Myers Beach,Perinatal (<= 150 cm)
Volusia,2018-11-08 00:00:00,MNE18038,M,289,Norris Dead River,Deland,Undetermined: Other
Citrus,2018-11-10 00:00:00,MNW18148,F,139,Gulf of Mexico,Crystal River,Perinatal (<= 150 cm)
Monroe,2018-11-10 00:00:00,MSE18080,F,332,Florida Bay,Homestead,Human Related: Watercraft Collision
Citrus,2018-11-11 00:00:00,MNW18149,F,246,Homosassa River,Homosassa,Natural: Other
Lee,2018-11-12 00:00:00,MSW18321,F,275,Gulf of Mexico,North Captiva Island,Verified: Not Recovered
Sarasota,2018-11-13 00:00:00,MSW18322,U,300,Lemon Bay,Englewood,Verified: Not Recovered
Pinellas,2018-11-14 00:00:00,MNW18150,M,280,St. Joseph Sound,Dunedin,Natural: Other
Martin,2018-11-14 00:00:00,MSE18081,M,249,Indian River,Stuart,Natural: Other
Lee,2018-11-14 00:00:00,MSW18323,M,241,Hendry Creek,Fort Myers,Human Related: Watercraft Collision
St. Lucie,2018-11-15 00:00:00,MSE18082,M,247,Indian River,Jensen Beach,Undetermined: Too Decomposed
Charlotte,2018-11-16 00:00:00,MSW18324,M,298,Stump Pass,Englewood,Natural: Other
Pinellas,2018-11-17 00:00:00,MNW18151,M,290,Tampa Bay,St. Petersburg,Natural: Other
Volusia,2018-11-18 00:00:00,MEC18134,M,290,Mosquito Lagoon,Allenhurst,Human Related: Watercraft Collision
Lee,2018-11-18 00:00:00,MSW18325,M,212,San Carlos Bay,Sanibel,Natural: Other
Palm Beach,2018-11-19 00:00:00,MSE18083,M,211,Lake Worth Creek,Jupiter,Human Related: Watercraft Collision
Lee,2018-11-19 00:00:00,MSW18326,M,296,Caloosahatchee River,Cape Coral,Human Related: Watercraft Collision
Brevard,2018-11-20 00:00:00,MEC18135,F,292,Mosquito Lagoon,Allenhurst,Human Related: Watercraft Collision
Sarasota,2018-11-20 00:00:00,MSW18327,F,296,Salt Creek,North Port,Natural: Other
Monroe,2018-11-21 00:00:00,MSE18084,M,332,Man of War Harbor,Key West,Human Related: Watercraft Collision
Hernando,2018-11-23 00:00:00,MNW18152,F,272,Bayport Channel,Spring Hill,Human Related: Watercraft Collision
Okeechobee,2018-11-23 00:00:00,MSE18085,F,360,Taylor Creek,Taylor Creek,Human Related: Flood Gate/Canal Lock
Lee,2018-11-23 00:00:00,MSW18328,U,220,Orange River,Ft. Myers,Verified: Not Recovered
Lee,2018-11-24 00:00:00,MSW18329,M,234,Estero Bay,Fort Myers Beach,Human Related: Watercraft Collision
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Volusia,2018-11-26 00:00:00,MEC18136,M,139,St. Johns River,Orange City,Perinatal (<= 150 cm)
Hillsborough,2018-11-27 00:00:00,MNW18153,F,170,Hillsborough Bay,Tampa,Undetermined: Too Decomposed
Sarasota,2018-11-28 00:00:00,MSW18330,F,202,Lemon Bay,Englewood,Natural: Other
Volusia,2018-11-29 00:00:00,MEC18137,F,304,Lake Beresford,DeLand,Undetermined: Too Decomposed
Citrus,2018-11-29 00:00:00,MNW18154,M,283,Kings Bay,Crystal River,Natural: Other
Pinellas,2018-11-29 00:00:00,MNW18155,M,284,Boca Ciega Bay,St. Petersburg,Natural: Other
Miami-Dade,2018-11-29 00:00:00,MSE18086,M,254,Lake Ruth,Miami Lakes,Undetermined: Too Decomposed
Pinellas,2018-11-30 00:00:00,MNW18156,F,140,Intracoastal Waterway,Redington Beach,Perinatal (<= 150 cm)
Hillsborough,2018-12-03 00:00:00,MNW18157,M,218,Tampa Bay,Apollo Beach,Natural: Other
Brevard,2018-12-04 00:00:00,MEC18138,F,272,Banana River,Merritt Island,Undetermined: Too Decomposed
Brevard,2018-12-04 00:00:00,MEC18139,M,287,Banana River,Merritt Island,Undetermined: Too Decomposed
Palm Beach,2018-12-04 00:00:00,MSE18087,M,152,Lake Worth Creek,Jupiter,Undetermined: Too Decomposed
Miami-Dade,2018-12-05 00:00:00,MSE18088,F,213,Biscayne Bay,Miami,Undetermined: Too Decomposed
Collier,2018-12-05 00:00:00,MSW18331,F,292,Caxambas Bay,Goodland,Undetermined: Too Decomposed
Volusia,2018-12-06 00:00:00,MEC18140,M,294,St. Johns River,Orange City,Natural: Other
Brevard,2018-12-08 00:00:00,MEC18141,M,149,Crane Creek,Melbourne,Perinatal (<= 150 cm)
Pinellas,2018-12-08 00:00:00,MNW18158,M,232,Clearwater Harbor,Belleair Beach,Natural: Other
Citrus,2018-12-09 00:00:00,MNW18159,U,64,Jurassic Spring,Crystal River,Perinatal (<= 150 cm)
Broward,2018-12-09 00:00:00,MSE18089,M,355,Stranahan River,Fort Lauderdale,Human Related: Watercraft Collision
Collier,2018-12-09 00:00:00,MSW18332,F,125,Faka Union Canal,Port of the Islands,Verified: Not Recovered
Hillsborough,2018-12-10 00:00:00,MNW18160,M,200,Tampa Bay,Apollo Beach,Undetermined: Too Decomposed
Broward,2018-12-13 00:00:00,MSE18090,F,339,Stranahan River,Dania Beach,Human Related: Watercraft Collision
Miami-Dade,2018-12-13 00:00:00,MSE18091,F,258,Biscayne Bay,Miami,Natural: Other
Miami-Dade,2018-12-13 00:00:00,MSE18092,M,195,Collins Canal,Miami Beach,Human Related: Other
Volusia,2018-12-14 00:00:00,MEC18142,F,254,St. Johns River,DeLand,Undetermined: Too Decomposed
Hillsborough,2018-12-14 00:00:00,MNW18161,F,343,Big Bend Channel,Gibsonton,Undetermined: Too Decomposed
Lee,2018-12-15 00:00:00,MSW18333,M,140,San Carlos Bay,Sanibel,Perinatal (<= 150 cm)
Indian River,2018-12-16 00:00:00,MEC18143,M,220,Indian River,Sebastian,Undetermined: Too Decomposed
Brevard,2018-12-16 00:00:00,MEC18144,F,215,Grand Canal,Satellite Beach,Natural: Cold Stress
Lee,2018-12-16 00:00:00,MSW18334,M,153,San Carlos Bay,Fort Myers Beach,Natural: Other
Collier,2018-12-16 00:00:00,MSW18335,U,305,Gulf of Mexico,Naples,Verified: Not Recovered
Duval,2018-12-17 00:00:00,MNE18039,M,269,Ortega River,Jacksonville,Natural: Cold Stress
Lee,2018-12-17 00:00:00,MSW18336,M,202,Caloosahatchee River,North Fort Myers,Natural: Other
Brevard,2018-12-18 00:00:00,MEC18145,M,139,Indian River,Cape Canaveral,Human Related: Other
Volusia,2018-12-18 00:00:00,MEC18146,F,316,St. Johns River,Orange City,Undetermined: Other
Volusia,2018-12-18 00:00:00,MEC18147,M,337,Indian River North,Edgewater,Human Related: Watercraft Collision
Lee,2018-12-18 00:00:00,MSW18337,M,168,Ten Mile Canal,Fort Myers,Natural: Other
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Collier,2018-12-19 00:00:00,MSW18338,F,320,Sanctuary Sound,Marco Island,Natural: Other
Lee,2018-12-19 00:00:00,MSW18339,U,180,Pelican Bay,Cayo Costa,Verified: Not Recovered
Palm Beach,2018-12-20 00:00:00,MSE18093,M,253,Okeechobee Waterway,South Bay,Undetermined: Too Decomposed
Volusia,2018-12-22 00:00:00,MEC18148,M,279,St. Johns River,DeLand,Natural: Other
Broward,2018-12-22 00:00:00,MSE18094,M,278,Whiskey Creek,Dania Beach,Human Related: Watercraft Collision
Broward,2018-12-22 00:00:00,MSE18095,F,165,Hillsboro River,Fort Lauderdale,Natural: Cold Stress
Citrus,2018-12-24 00:00:00,MNW18162,F,319,Three Sisters Spring,Crystal River,Natural: Other
Citrus,2018-12-24 00:00:00,MNW18163,F,311,Salt River,Homosassa,Undetermined: Too Decomposed
Broward,2018-12-25 00:00:00,MSE18096,F,309,Coral Bay,Fort Lauderdale,Undetermined: Other
Brevard,2018-12-26 00:00:00,MEC18149,M,309,Indian River,Titusville,Undetermined: Too Decomposed
Volusia,2018-12-26 00:00:00,MEC18151,F,175,Indian River,Oak Hill,Undetermined: Too Decomposed
Duval,2018-12-26 00:00:00,MNE18040,F,195,Ribault River,Jacksonville,Natural: Cold Stress
Volusia,2018-12-26 00:00:00,MNE18041,M,287,Halifax River,Ormond Beach,Natural: Cold Stress
Hillsborough,2018-12-27 00:00:00,MNW18164,M,270,Tampa Bay,Apollo Beach,Human Related: Other
Indian River,2018-12-28 00:00:00,MEC18150,F,174,Indian River,Sebastian,Undetermined: Too Decomposed
Hillsborough,2018-12-29 00:00:00,MNW18165,F,223,Hillsborough River,Tampa,Natural: Other
Broward,2018-12-29 00:00:00,MSE18097,M,284,C-10 Canal,Hollywood,Undetermined: Too Decomposed
Walton,2018-12-30 00:00:00,MNW18166,F,270,Choctawhatchee Bay,Niceville,Natural: Cold Stress
St. Lucie,2018-12-30 00:00:00,MSE18098,M,201,Taylor Creek,Ft. Pierce,Undetermined: Too Decomposed
Lee,2018-12-30 00:00:00,MSW18340,F,140,Matlacha Pass,Cape Coral,Perinatal (<= 150 cm)
Monroe,2018-12-30 00:00:00,MSW18341,M,265,Florida Bay,Flamingo,Human Related: Watercraft Collision
Collier,2018-12-30 00:00:00,MSW18343,M,208,Tamiami Canal,Ochopee,Natural: Cold Stress
Collier,2018-12-31 00:00:00,MSW18342,F,154,Roberts Bay,Naples,Undetermined: Too Decomposed
